Species,Family,Habit,CommonName
Abies concolor,Pinaceae,T,California White Fir
Abies magnifica,Pinaceae,T,Red Fir
Abronia,Nyctaginaceae,PH,Sand-verbena
Acacia dealbata,Fabaceae,S/T,Silver Wattle
Acer glabrum,Sapindaceae,S,Rocky Mountain Maple
Acer macrophyllum,Sapindaceae,T,Bigleaf Maple
Acer negundo,Sapindaceae,S/T,Box Elder
Achillea millefolium,Asteraceae,PH,White Yarrow
Achyrachaena mollis,Asteraceae,AH,Blow-Wives
Acmispon,Fabaceae,AH/PH,Lotus or Hosackia species
Aconitum columbianum,Ranunculaceae,PH,Monkshood
Acourtia microcephala,Asteraceae,PH,Sacapellote
Adenostoma fasciculatum,Rosaceae,S,Chamise
Adiantum aleuticum,Pteridaceae,PF,Five-finger Maidenhair
Adiantum jordanii,Pteridaceae,PF,California Maidenhair
Aegilops,Poaceae,AG,Goatgrass
Aesculus californica,Sapindaceae,S/T,California Buckeye
Agave deserti,Agavaceae,P,Desert Agave
Agoseris retrorsa,Asteraceae,PH,Spear-leaved Mountain Dandelion
Ailanthus altissima,Simaroubaceae,T,Tree of Heaven
Allenrolfea occidentalis,Chenopodiaceae,S,Iodine Bush
Allium,Alliaceae,PG,Onions
Allophyllum glutinosum,Polemoniaceae,AH,Sticky Allophyllum
Alnus rhombifolia,Betulaceae,T,White Alder
Amaranthus,Amaranthaceae,AH,"Amaranths, Pigweeds"
Ambrosia acanthicarpa,Asteraceae,AH,"Burweed, Annual Bur-sage"
Ambrosia chamissonis,Asteraceae,PH/S,Beach Bur
Ambrosia salsola,Asteraceae,S,Burrobrush
Ammophila arenaria,Poaceae,PG,European Beachgrass
Amorpha californica,Fabaceae,S,California False Indigo
Amsinckia,Boraginaceae,AH,Fiddlenecks
Anemopsis californica,Saururaceae,PH,Yerba Mansa
Antirrhinum multiflorum,Plantaginaceae,S,Sticky Snapdragon
Apiastrum angustifolium,Apiaceae,AH,"Wild Celery, Mock Parsley"
Apium graveolens,Apiaceae,PH,Celery
Apocynum androsaemifolium,Apocynaceae,PH,Bitter Dogbane
Apocynum cannabinum,Apocynaceae,PH,Indian Hemp
Aquilegia formosa,Ranunculaceae,PH,Western Columbine
Arbutus menziesii,Ericaceae,T,Pacific Madrone
Arceuthobium campylopodum,Viscaceae,PH,Western Dwarf Mistletoe
Arctostaphylos,Ericaceae,S,Manzanitas
Argemone munita,Papaveraceae,AH,"Prickly Poppy, Chicalote"
Artemisia californica,Asteraceae,S,California Sagebrush
Artemisia douglasiana,Asteraceae,PH,Mugwort
Artemisia dracunculus,Asteraceae,PH,"Tarragon, Dragon Tarragon"
Artemisia tridentata,Asteraceae,S,Great Basin Sagebrush
Arundo donax,Poaceae,PG,Giant Reed
Asclepias,Apocynaceae,PH,Milkweeds
Aspidotis densa,Pteridaceae,PF,Lace Fern
Astragalus,Fabaceae,AH,"Milkvetches, Locoweeds,"
Athyrium filix-femina,Woodsiaceae,PF,Lady Fern
Athysanus pusillus,Brassicaceae,AH,Athysanus
Atriplex canescens,Chenopodiaceae,S,Fourwing or Hoary Saltbush
Atriplex semibaccata,Chenopodiaceae,PH,Australian Saltbush
Avena,Poaceae,AG,Oats
Azolla filiculoides,Azollaceae,AF,Duckweed Fern
Baccharis pilularis,Asteraceae,S,Coyote Brush
Baccharis salicifolia,Asteraceae,S,"Mulefat, Seep-willow, Water-wally"
Barbarea orthoceras,Brassicaceae,PH,American Rocket
Berberis aquifolium,Berberidaceae,S,Oregon-grape
Blennosperma nanum,Asteraceae,AH,Common Stickyseed
Bloomeria crocea,Themidaceae,PG,Goldenstars
Boechera,Brassicaceae,PH,Rock Cresses
Brassica nigra,Brassicaceae,AH,Black Mustard
Brickellia californica,Asteraceae,S,California Brickellbush
Briza,Poaceae,AG,Quaking Grasses
Brodiaea,Themidaceae,PG,Brodiaeas
Bromus carinatus,Poaceae,PG,California Brome
Bromus diandrus,Poaceae,AG,Ripgut Grass
Bromus hordeaceus,Poaceae,AG,Soft Chess
Bromus tectorum,Poaceae,AG,"Downy Brome, Cheat Grass"
Cakile maritima,Brassicaceae,AH,Sea Rocket
Calandrinia ciliata,Montiaceae,AH,Redmaids
Calocedrus decurrens,Cupressaceae,T,Incense-cedar
Calochortus,Liliaceae,PG,Mariposa Lilies
Calycanthus occidentalis,Calycanthaceae,S,Spicebush
Calyptridium monandrum,Montiaceae,AH,"Common Calyptridium, Sand Cress"
Calyptridium umbellatum,Montiaceae,AH,Pussy Paws
