Scientific Name,Common Name,Habit,Family
Abies concolor,California White Fir,T,Pinaceae
Abies magnifica,Red Fir,T,Pinaceae
Abronia spp.,Sand-verbena,PH,Nyctaginaceae
Acacia dealbata,Silver Wattle,S/T,Fabaceae
Acer glabrum,Rocky Mountain Maple,S,Sapindaceae
Acer macrophyllum,Bigleaf Maple,T,Sapindaceae
Acer negundo,Box Elder,S/T,Sapindaceae
Achillea millefolium,White Yarrow,PH,Asteraceae
Achyrachaena mollis,Blow-Wives,AH,Asteraceae
Acmispon  spp.,Lotus or Hosackia species,AH/PH,Fabaceae
Aconitum columbianum,Monkshood,PH,Ranunculaceae
Acourtia microcephala,Sacapellote,PH,Asteraceae
Adenostoma fasciculatum,Chamise,S,Rosaceae
Adiantum aleuticum,Five-finger Maidenhair,PF,Pteridaceae
Adiantum jordanii,California Maidenhair,PF,Pteridaceae
Aegilops spp.,Goatgrass,AG,Poaceae
Aesculus californica,California Buckeye,S/T,Sapindaceae
Agave deserti,Desert Agave,P,Agavaceae
Agoseris retrorsa,Spear-leaved Mountain Dandelion,PH,Asteraceae
Ailanthus altissima,Tree of Heaven,T,Simaroubaceae
Allenrolfea occidentalis,Iodine Bush,S,Chenopodiaceae
Allium spp.,Onions,PG,Alliaceae
Allophyllum glutinosum,Sticky Allophyllum,AH,Polemoniaceae
Alnus rhombifolia,White Alder,T,Betulaceae
Amaranthus spp.,"Amaranths, Pigweeds",AH,Amaranthaceae
Ambrosia acanthicarpa,"Burweed, Annual Bur-sage",AH,Asteraceae
Ambrosia chamissonis,Beach Bur,PH/S,Asteraceae
Ambrosia psilostachya var. californica,Western Ragweed,BH,Asteraceae
Ambrosia salsola,Burrobrush,S,Asteraceae
Ammophila arenaria,European Beachgrass,PG,Poaceae
Amorpha californica,California False Indigo,S,Fabaceae
Amsinckia spp.,Fiddlenecks,AH,Boraginaceae
Anemopsis californica,Yerba Mansa,PH,Saururaceae
Antirrhinum multiflorum,Sticky Snapdragon,S,Plantaginaceae
Apiastrum angustifolium,"Wild Celery, Mock Parsley",AH,Apiaceae
Apium graveolens,Celery,PH,Apiaceae
Apocynum androsaemifolium,Bitter Dogbane,PH,Apocynaceae
Apocynum cannabinum,Indian Hemp,PH,Apocynaceae
Aquilegia formosa,Western Columbine,PH,Ranunculaceae
Arbutus menziesii,Pacific Madrone,T,Ericaceae
Arceuthobium campylopodum,Western Dwarf Mistletoe,PH,Viscaceae
Arctostaphylos spp.,Manzanitas,S,Ericaceae
Argemone munita,"Prickly Poppy, Chicalote",AH,Papaveraceae
Artemisia californica,California Sagebrush,S,Asteraceae
Artemisia douglasiana,Mugwort,PH,Asteraceae
Artemisia dracunculus,"Tarragon, Dragon Tarragon",PH,Asteraceae
Artemisia tridentata,Great Basin Sagebrush,S,Asteraceae
Arundo donax,Giant Reed,PG,Poaceae
Asclepias spp.,Milkweeds,PH,Apocynaceae
Aspidotis densa,Lace Fern,PF,Pteridaceae
Astragalus spp.,"Milkvetches, Locoweeds,",AH,Fabaceae
Athyrium filix-femina,Lady Fern,PF,Woodsiaceae
Athysanus pusillus,Athysanus,AH,Brassicaceae
Atriplex canescens,Fourwing or Hoary Saltbush,S,Chenopodiaceae
Atriplex semibaccata,Australian Saltbush,PH,Chenopodiaceae
Avena spp.,Oats,AG,Poaceae
Azolla filiculoides,Duckweed Fern,AF,Azollaceae
Baccharis pilularis,Coyote Brush,S,Asteraceae
Baccharis salicifolia,"Mulefat, Seep-willow, Water-wally",S,Asteraceae
Barbarea orthoceras,American Rocket,PH,Brassicaceae
Berberis aquifolium,Oregon-grape,S,Berberidaceae
Blennosperma nanum,Common Stickyseed,AH,Asteraceae
Bloomeria crocea,Goldenstars,PG,Themidaceae
Boechera spp.,Rock Cresses,PH,Brassicaceae
Bolboschoenus maritimus var. paludosus,Saltmarsh Bulrush,PG,Cyperaceae
Brassica nigra,Black Mustard,AH,Brassicaceae
Brickellia californica,California Brickellbush,S,Asteraceae
Briza spp.,Quaking Grasses,AG,Poaceae
Brodiaea spp.,Brodiaeas,PG,Themidaceae
Bromus carinatus,California Brome,PG,Poaceae
Bromus diandrus,Ripgut Grass,AG,Poaceae
Bromus hordeaceus,Soft Chess,AG,Poaceae
Bromus madritensis ssp. rubens,Red Brome,AG,Poaceae
Bromus tectorum,"Downy Brome, Cheat Grass",AG,Poaceae
Cakile maritima,Sea Rocket,AH,Brassicaceae
Calandrinia ciliata,Redmaids,AH,Montiaceae
Calocedrus decurrens,Incense-cedar,T,Cupressaceae
