Term,Definition
Lupinus,Lupines
Adenostoma fasciculatum,Chamise
Arctostaphylos,Manzanitas
Collinsia heterophylla,Chinese Houses
Calochortus,Mariposa Lilies
Apocynum androsaemifolium,Bitter Dogbane
Sequoia sempervirens,Coast Redwood
Spartium junceum,Spanish Broom
Rubus spectabilis,Salmonberry
Chlorogalum pomeridianum,Soap Lily/Plant
Acer negundo,Box Elder
Polystichum,Sword Ferns
Oxalis oregana,Redwood Sorrel
Iris pseudacorus,Iris
Yucca brevifolia,Joshua Tree
Clarkia,Clarkia
Quercus agrifolia,Coast Live Oak
Asclepias,Milkweeds
Eschscholzia californica,California Poppy
Acer macrophyllum,Bigleaf Maple
Erythronium,Fawn Lily
Aquilegia formosa,Western Columbine
Pseudotsuga menziesii,Douglas-fir
Vaccinium ovatum,Evergreen Huckleberry
Vaccinium parvifolium,Red Huckleberry
Gaultheria shallon,Salal
Pinus ponderosa,Ponderosa Pine
Pinus jeffreyi,Jeffrey Pine
Cytisus scoparius,Scotch Broom
Typha,Cattail
Sidalcea,"Checkerblooms, Globemallows"
Umbellularia californica,California Bay
Pinus contorta,"Lodgepole Pine, Beach Pine"
Eriogonum,annual buckwheat species
Quercus douglasii,Blue Oak
Quercus lobata,Valley Oak
Amsinckia,Fiddlenecks
Carpobrotus,Sea Fig & Hottentot Fig
Castilleja exserta,Purple Owl’s Clover
Phacelia,Phacelias
Cylindropuntia bigelovii,Teddybear Cholla
Astragalus,"Milkvetches, Locoweeds,"
Corallorhiza maculata,Spotted Coralroot
Pedicularis densiflora,Indian Warrior
Ceanothus,Ceanothus
Clematis lasiantha,Pipestem Clematis
Sisyrinchium bellum,Blue-eyed Grass
Quercus kelloggii,Black Oak
Castilleja affinis,Lay-and-Collie’s Indian Paintbrush
Lathyrus vestitus,Pacific Peavine
Erysimum capitatum,Western Wallflower
Delphinium nudicaule,Canyon Larkspur
Salvia mellifera,Black Sage
Nemophila menziesii,Baby Blue-eyes
Epipactis gigantea,Stream Orchid
Triphysaria eriantha,Johnny-tuck
Uropappus lindleyi,Silver Puffs
Scrophularia californica,Calfornia Figwort
Gilia tricolor,Bird's Eye Gilia
Iris douglasiana,Douglas Iris
Lasthenia,Goldfields
Arbutus menziesii,Pacific Madrone
Dicentra formosa,Bleeding Heart
Maianthemum racemosum,False Solomon Seal
Toxicodendron diversilobum,Western Poison Oak
Triteleia laxa,"Grass Nuts, Ithuriel's spear"
Quercus wislizeni,Interior Live Oak
Quercus chrysolepis,Canyon Live or Goldencup Oak
Stachys,Hedge Nettles
Heuchera micrantha,Crevice Alumroot
Platystemon californicus,Cream Cups
Rubus parviflorus,Thimbleberry
Cryptantha,Forget-Me-Nots
Brodiaea,Brodiaeas
Penstemon heterophyllus,Mountain Penstemon
Trifolium,Clovers
Streptanthus tortuosus,Mountain Jewelflower
Pterospora andromedea,Pinedrops
Populus fremontii,Fremont Cottonwood
Ipomopsis aggregata,Scarlet Gilia
Linanthus pungens,Granite Prickly Phlox
Monardella,Coyote Mint
Amaranthus,"Amaranths, Pigweeds"
Silybum marianum,Milk Thistle
Centaurea solstitialis,Yellow Star-thistle
Cirsium occidentale,California Thistle
Darlingtonia californica,California Pitcher Plant
Adiantum aleuticum,Five-finger Maidenhair
Athyrium filix-femina,Lady Fern
Dryopteris arguta,Coastal or Marginal Wood Fern
Pentagramma triangularis,Goldenback Fern
Pteridium aquilinum,Western Brackenfern
Woodwardia fimbriata,Giant Chain Fern
Bromus carinatus,California Brome
Bromus diandrus,Ripgut Grass
Bromus hordeaceus,Soft Chess
Equisetum arvense,Common Horsetail Rush
Cephalanthus occidentalis,Button Willow
Prunella vulgaris,Selfheal
Elymus glaucus,Blue or Woodland Wildrye
Hordeum murinum,Summer Barley
Melica imperfecta,Coast Melic Grass
Artemisia douglasiana,Mugwort
